Anslag,Namn,2022,Utgiftsområde
4:4,Utvecklingsarbete inom områdena utbildning och forskning,-10000000,16
99:2,Utbildningsdag föräldrar,60000000,16
99:3,Personalsatsning,300000000,16
99:4,Motverka övergrepp i föreningar och förskola,20000000,16
99:6,Mentorskapsprogram - skolan som del i brottsförebyggande arbete,100000000,16
99:7,Läxhjälp utsatta områden,50000000,16
99:8,Teach for Sweden,10000000,16
99:9,Barnomsorgspeng,0,16
1:1,Statens kulturråd,0,17
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",-390000000,17
1:3,Skapande skola,10000000,17
1:4,Forsknings- och utvecklingsinsatser inom kulturområdet,0,17
1:5,Stöd till icke-statliga kulturlokaler,0,17
1:6,Bidrag till regional kulturverksamhet,0,17
1:7,Myndigheten för kulturanalys,0,17
2:1,Bidrag till vissa scenkonstinstitutioner,0,17
2:2,"Bidrag till vissa teater-, dans- och musikändamål",-91000000,17
2:3,Statens musikverk,0,17
3:1,Bidrag till litteratur och kulturtidskrifter,25000000,17
3:2,Myndigheten för tillgängliga medier,0,17
3:3,Institutet för språk och folkminnen,0,17
4:1,Statens konstråd,0,17
4:2,Konstnärlig gestaltning av den gemensamma miljön,-10000000,17
4:3,Nämnden för hemslöjdsfrågor,0,17
4:4,Bidrag till bild- och formområdet,-15000000,17
5:1,Konstnärsnämnden,0,17
5:2,Ersättningar och bidrag till konstnärer,-178000000,17
6:1,Riksarkivet,0,17
7:1,Riksantikvarieämbetet,0,17
7:2,Bidrag till kulturmiljövård,-10000000,17
7:3,Kyrkoantikvarisk ersättning,0,17
7:4,Bidrag till arbetslivsmuseer,0,17
8:1,Centrala museer: Myndigheter,-109000000,17
8:2,Centrala museer: Stiftelser,0,17
8:3,Bidrag till vissa museer,-4000000,17
8:4,Forum för levande historia,10000000,17
8:5,Statliga utställningsgarantier och inköp av vissa kulturföremål,0,17
9:1,Myndigheten för stöd till trossamfund,0,17
9:2,Stöd till trossamfund,55000000,17
10:1,Filmstöd,-155000000,17
11:1,Sändningar av TV Finland,0,17
11:2,Forskning och dokumentation om medieutvecklingen,0,17
11:3,Avgift till Europeiska audiovisuella observatoriet,0,17
11:4,Statens medieråd,0,17
11:5,Stöd till taltidningar,0,17
12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,40000000,17
12:2,Bidrag till nationell och internationell ungdomsverksamhet,180000000,17
12:3,Särskilda insatser inom ungdomspolitiken,780000000,17
13:1,Stöd till idrotten,50000000,17
13:2,Bidrag till allmänna samlingslokaler,20000000,17
13:3,Stöd till friluftsorganisationer,20000000,17
13:4,Bidrag till riksdagspartiers kvinnoorganisationer,0,17
13:5,Insatser för den ideella sektorn,220000000,17
14:1,Bidrag till folkbildningen,-40000000,17
14:2,Bidrag till tolkutbildning,0,17
14:3,Särskilda insatser inom folkbildningen,0,17
14:4,Särskilt utbildningsstöd,0,17
15:1,Spelinspektionen,0,17
99:1,Ökad gemenskap och fysisk aktivitet funktionsnedsatta,10000000,17
99:2,Äldrelyftet,20000000,17
99:3,Riktad satsning kulturrådet ideella musikarrangörer,15000000,17
1:1,Naturvårdsverket,-12000000,20
1:2,Miljöövervakning m.m.,-38000000,20
1:3,Åtgärder för värdefull natur,-350000000,20
1:4,Sanering och återställning av förorenade områden,0,20
1:5,Miljöforskning,0,20
1:6,Kemikalieinspektionen,0,20
1:7,Avgifter till Internationella organisationer,0,20
1:8,Klimatbonus,600000000,20
1:9,Sveriges meteorologiska och hydrologiska institut,0,20
1:10,Klimatanpassning,0,20
1:11,Åtgärder för havs- och vattenmiljö,0,20
1:12,Insatser för internationella klimatinvesteringar,0,20
1:13,Internationellt miljösamarbete,0,20
1:14,Skydd av värdefull natur,-2676000000,20
1:15,Havs- och vattenmyndigheten,-124000000,20
1:16,Klimatinvesteringar,-300000000,20
1:17,Klimatpremier,-1180000000,20
1:18,Stöd för gröna och trygga samhällen,-200000000,20
1:19,Industriklivet,0,20
1:20,Åtgärder för ras- och skredsäkring längs Göta älv,0,20
1:21,Driftstöd för bio-CCS,0,20
1:22,Kompetenslyft för klimatomställningen,-100000000,20
2:1,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",0,20
2:2,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning",0,20
99:2,Effektiv utsläppsbroms,1000000000,20
1:1,Statens energimyndighet,0,21
1:2,Insatser för energieffektivisering,0,21
1:3,Insatser för förnybar elproduktion,-15000000,21
1:4,Energiforskning,170000000,21
1:5,Infrastruktur för elektrifierade transporter,100000000,21
1:6,Energimarknadsinspektionen,0,21
1:7,Energiteknik,0,21
1:8,Elberedskap,0,21
1:9,Avgifter till internationella organisationer,0,21
1:10,Energi- och klimatomställning på lokal och regional nivå m.m,-140000000,21
1:11,Elsäkerhetsverket,0,21
1:1,Utveckling av statens transportinfrastruktur,10000000,22
1:2,Vidmakthållande av statens transportinfrastruktur,355000000,22
1:3,Trafikverket,0,22
1:4,Ersättning för sjöräddning och fritidsbåtsändamål,175000000,22
1:5,Ersättning för viss kanal- och slussinfrastruktur,0,22
1:6,Ersättning avseende icke statliga flygplatser,100000000,22
1:7,Trafikavtal,0,22
1:8,Viss internationell verksamhet,0,22
1:9,Statens väg- och transportforskningsinstitut,10000000,22
1:10,Från EU-budgeten finansierade stöd till Transeuropeiska nätverk,0,22
1:11,Trängselskatt i Stockholm,0,22
1:12,Transportstyrelsen,0,22
1:13,Trafikanalys,0,22
1:14,Trängselskatt i Göteborg,0,22
1:15,Sjöfartsstöd,17000000,22
1:16,Internationell tågtrafik,-45000000,22
1:17,Infrastruktur för flygtrafiktjänst,0,22
1:18,Bidrag för upprätthållande av kollektivtrafik,0,22
1:19,Lån till körkort,0,22
2:1,Post- och telestyrelsen,0,22
2:2,Ersättning för särskilda tjänster för personer med funktionsnedsättning,0,22
2:3,Grundläggande betaltjänster,0,22
2:4,Informationsteknik och telekommunikation,0,22
2:5,Driftsäker och tillgänglig elektronisk kommunikation,100000000,22
2:6,Myndigheten för digital förvaltning,0,22
2:7,Digital förvaltning,0,22
99:1,Stöd för utbyggd infrastruktur el-flyg,100000000,22
1:1,Skogsstyrelsen,-88600000,23
1:2,Insatser för skogsbruket,-620000000,23
1:3,Statens veterinärmedicinska anstalt,0,23
1:4,Bidrag till veterinär fältverksamhet,0,23
1:5,Djurhälsovård och djurskyddsfrämjande åtgärder,0,23
1:6,Bekämpning av smittsamma djursjukdomar,0,23
1:7,Ersättningar för viltskador m.m.,10000000,23
1:8,Statens jordbruksverk,75000000,23
1:9,Bekämpning av växtskadegörare,0,23
1:10,Gårdsstöd m.m.,0,23
1:11,Intervention för jordbruksprodukter m.m.,-27000000,23
1:12,Stödåtgärder för fiske och vattenbruk,0,23
1:13,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk,0,23
1:14,Livsmedelsverket,0,23
1:15,Konkurrenskraftig livsmedelssektor,10000000,23
1:16,Bidrag till vissa internationella organisationer m.m.,0,23
1:17,Åtgärder för landsbygdens miljö och struktur,14000000,23
1:18,Från EU-budgeten finansierade åtgärder för landsbygdens miljö och struktur,0,23
1:19,Miljöförbättrande åtgärder i jordbruket,0,23
1:20,Stöd till jordbrukets rationalisering m.m.,0,23
1:21,Åtgärder på fjällägenheter,0,23
1:22,Främjande av rennäringen m.m.,0,23
1:23,Sveriges lantbruksuniversitet,0,23
1:24,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning och samfinansierad forskning",0,23
1:25,Bidrag till Skogs- och lantbruksakademien,0,23
1:26,Nedsättning av slakteriavgifter,0,23
1:27,Åtgärder för beredskap inom livsmedels- och dricksvattenområdet,0,23
1:28,Stödåtgärder för fiske och vattenbruk 2021–2027,0,23
1:29,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk 2021–2027,0,23
99:1,Inrättande av Jakt- och viltvårdsmyndighet,50000000,23
1:1,Kommunalekonomisk utjämning,4824000000,25
1:2,Utjämningsbidrag för LSS-kostnader,0,25
1:3,Bidrag till kommunalekonomiska organisationer,0,25
1:4,Tillfälligt stöd till enskilda kommuner och regioner,0,25
1:5,Medel till befolkningsmässigt mindre kommuner,0,25
