Kod,Namn,Regeringens förslag,Avvikelse från regeringen
3:14,Gentekniknämnden,4810,0
4:1,Internationella program,81589,0
4:2,Avgift till Unesco och ICCROM,32186,0
4:3,Kostnader för Svenska Unescorådet,10980,0
4:4,Utvecklingsarbete inom områdena utbildning och forskning,58043,0
99:1,Stöd till glesbygdsskolor,0,380000
99:2,"Slopat karensavdrag för förskolepersonal, lärare i grundskolan och fritidspersonal",0,200000
99:3,Utökning SYV grundskola och gymnasieskola,0,125000
99:4,Jourklasser,0,800000
99:5,Utökad personaltäthet fritids,0,250000
99:6,Ökad lärartäthet o undervisningstid högre utbildning,0,250000
99:7,Avskaffat produktivitetsbidrag,0,460000
99:8,Strategiskt forskningsanslag kärnenergiforskning,0,100000
99:9,Skolhälsovård,0,850000
99:11,Ökat basanslag,0,300000
99:12,Ökad generell skolpeng,0,2000000
1:1,Statens kulturråd,73714,5000
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",1450582,200000
1:3,Skapande skola,199964,0
1:4,Forsknings- och utvecklingsinsatser inom kulturområdet,45153,20000
1:5,Stöd till icke-statliga kulturlokaler,9852,15000
1:6,Bidrag till regional kulturverksamhet,1681723,0
1:7,Myndigheten för kulturanalys,18436,0
2:1,Bidrag till vissa scenkonstinstitutioner,1122130,−13703
2:2,"Bidrag till vissa teater-, dans- och musikändamål",301614,−16000
2:3,Statens musikverk,97355,2000
3:1,Bidrag till litteratur och kulturtidskrifter,205735,−30000
3:2,Myndigheten för tillgängliga medier,128474,0
3:3,Institutet för språk och folkminnen,72251,11000
4:1,Statens konstråd,11078,0
4:2,Konstnärlig gestaltning av den gemensamma miljön,42947,0
4:3,Nämnden för hemslöjdsfrågor,11805,5000
4:4,Bidrag till bild- och formområdet,61069,−6000
5:1,Konstnärsnämnden,23444,0
5:2,Ersättningar och bidrag till konstnärer,599830,−135000
6:1,Riksarkivet,467946,31000
7:1,Riksantikvarieämbetet,286384,50000
7:2,Bidrag till kulturmiljövård,276042,5000
7:3,Kyrkoantikvarisk ersättning,460000,250000
7:4,Bidrag till arbetslivsmuseer,8000,0
8:1,Centrala museer: Myndigheter,1451114,−96000
8:2,Centrala museer: Stiftelser,288714,110000
8:3,Bidrag till vissa museer,79718,12000
8:4,Forum för levande historia,50175,0
8:5,Statliga utställningsgarantier och inköp av vissa kulturföremål,80,0
9:1,Myndigheten för stöd till trossamfund,16327,3000
9:2,Stöd till trossamfund,81919,−25000
10:1,Filmstöd,608444,−155000
11:1,Sändningar av TV Finland,9721,0
11:2,Forskning och dokumentation om medieutvecklingen,3471,0
11:3,Avgift till Europeiska audiovisuella observatoriet,483,0
11:4,Statens medieråd,24144,−15000
11:5,Stöd till taltidningar,47856,0
12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,59053,7000
12:2,Bidrag till nationell och internationell ungdomsverksamhet,290680,−67000
12:3,Särskilda insatser inom ungdomspolitiken,2000,0
13:1,Stöd till idrotten,2366811,0
13:2,Bidrag till allmänna samlingslokaler,52164,0
13:3,Stöd till friluftsorganisationer,97785,5000
13:4,Bidrag till riksdagspartiers kvinnoorganisationer,15000,−15000
13:5,Insatser för den ideella sektorn,23758,0
14:1,Bidrag till folkbildningen,4829783,−1175100
14:2,Bidrag till tolkutbildning,60331,0
14:3,Särskilda insatser inom folkbildningen,60000,−60000
14:4,Särskilt utbildningsstöd,202158,0
15:1,Spelinspektionen,77376,6000
99:1,Stöd till estetisk hållbarhet,0,250000
99:2,Kulturreservat,0,40000
99:3,Kulturarvs-ROT,0,160000
99:4,Kulturarvsfond,0,100000
99:5,Skapande äldreomsorg,0,35000
99:6,Öppna museer,0,150000
99:7,Stimulansbidrag kulturmiljökompetens,0,50000
99:8,Stimulansbidrag kultur i vården,0,35000
99:9,Kulturlotsar och Sverigecenter,0,300000
99:10,Bibliotekssatsning,0,100000
99:11,LOA-fond,0,100000
1:1,Bostadspolitisk utveckling,20600,0
1:2,Omstrukturering av kommunala bostadsföretag,12500,0
1:3,Stöd för att underlätta för enskilda att ordna bostad,43000,0
1:4,Boverket,316330,−2000
1:5,Statens geotekniska institut,56847,0
1:6,Lantmäteriet,688817,0
1:7,Energieffektivisering av flerbostadshus,1565000,−1565000
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,4050000,−4050000
2:1,Konsumentverket,169873,−3200
2:2,Allmänna reklamationsnämnden,53792,0
2:3,Fastighetsmäklarinspektionen,30642,0
2:4,Åtgärder på konsumentområdet,13559,0
2:5,Bidrag till miljömärkning av produkter,4374,0
99:1,Stöd till lokal konsumentvägledning,0,129000
99:2,Ökad trygghet i utsatta områden,0,750000
99:3,Bidrag till åtgärder mot radon i bostäder,0,34000
1:1,Regionala utvecklingsåtgärder,2560937,0
1:2,Transportbidrag,430864,0
1:3,Europeiska regionala utvecklingsfonden perioden 2014-2020,1600000,0
1:4,Europeiska regionala utvecklingsfonden och Fonden för en rättvis omställning perioden 2021-2027,650000,0
1:1,Naturvårdsverket,645033,−37000
1:2,Miljöövervakning m.m.,513714,0
1:3,Åtgärder för värdefull natur,2064035,0
1:4,Sanering och återställning av förorenade områden,1167318,30000
